t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,8260867318455709529,0.0,0.0,0.0,2416921515,29.8,0,0.0,0.6,0,654716.0,0.0,163680,0,0.0,163680,0.0,0.0,0.0,0,0,100.0,0,0
1,8260867318455709529,0.0,0.0,0.0,120298834,22.3,0,0.0,0.7,0,724528.0,0.0,26994,0,0.0,181132,0.0,0.0,0.0,0,0,100.0,0,0
2,8260867318455709529,0.0,0.0,0.0,131537038,22.3,0,0.0,0.7,0,724528.0,0.0,0,0,0.0,181132,0.0,0.0,0.0,0,0,100.0,0,0
3,8260867318455709529,0.0,0.0,0.0,122079001,22.3,0,0.0,0.7,0,724528.0,0.0,0,0,0.0,181132,0.0,0.0,0.0,0,0,100.0,0,0
4,8260867318455709529,0.0,0.0,0.0,122243375,22.3,0,0.0,0.7,0,724528.0,0.0,0,0,0.0,181132,0.0,0.0,0.0,0,0,100.0,0,0
5,8260867318455709529,0.0,0.0,0.0,118204966,13.7,0,0.0,0.8,0,803944.0,0.0,23100,0,0.0,200986,0.0,0.0,0.0,0,0,100.0,0,0
6,8260867318455709529,0.0,0.0,0.0,119928642,14.1,0,0.0,0.8,0,801100.0,0.0,7559,0,0.0,200275,0.0,0.0,0.0,0,0,100.0,0,0
7,8260867318455709529,0.0,0.0,0.0,121979463,14.1,0,0.0,0.8,0,801100.0,0.0,0,0,0.0,200275,0.0,0.0,0.0,0,0,100.0,0,0
8,8260867318455709529,0.0,0.0,0.0,121993643,14.1,0,0.0,0.8,0,801100.0,0.0,0,0,0.0,200275,0.0,0.0,0.0,0,0,100.0,0,0
9,8260867318455709529,0.0,0.0,0.0,116785755,10.7,8017,3448890570522096.5,0.8,0,832516.0,0.0,18033,556,0.0,208131,0.0,0.0,24.4,0,9057,100.0,0,0
10,8260867318455709529,0.0,0.1,0.0,121528317,10.3,3640,23199984634196888.0,0.8,0,835948.0,0.0,4070,337,0.1,208987,0.0,0.0,11.2,0,4088,100.0,0,0
11,8260867318455709529,0.0,0.0,0.0,122495341,10.3,0,0.0,0.8,0,835948.0,0.0,0,0,0.0,208987,0.0,0.0,0.0,0,0,100.0,0,0
0,9746220439518514736,0.0,0.0,0.0,3367337319,8.5,2501,2155619447668131.5,0.8,0,852868.0,0.0,215559,114,0.0,213217,0.0,0.0,10.1,0,2723,100.0,0,0
1,9746220439518514736,0.0,0.2,0.0,79063924,6.7,18934,2994030332180747.0,0.8,0,869576.0,0.0,24540,1771,0.2,217394,0.0,0.0,14.0,0,20450,100.0,0,0
2,9746220439518514736,0.0,0.0,0.0,122839262,6.7,0,0.0,0.8,0,869576.0,0.0,0,0,0.0,217394,0.0,0.0,0.0,0,0,100.0,0,0
