t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,8260867318455709529,pp_11,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_15,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_14,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_12,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_10,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_8,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_13,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_8,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,worker_9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,8260867318455709529,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,8260867318455709529,pp_11,3.6,1.0,0.9,77221.8,427079.4,3331656567.5,5314787.9,1014516031.0,65058.6,3633376365.1
1,8260867318455709529,pp_1,3.6,1.0,1.0,104030.1,417433.1,3477055767.8,5558416.6,1014588805.0,30096.8,3633652576.0
1,8260867318455709529,pp_15,3.6,1.0,0.9,77243.7,406758.8,3332024291.9,5379867.3,1014648188.0,22008.6,3633853874.6
1,8260867318455709529,pp_14,3.6,1.0,0.9,74225.2,1316746.8,3205765834.2,5845933.1,1014701370.0,53444.4,3612527187.9
1,8260867318455709529,pp_7,3.6,1.0,1.0,77466.7,420242.0,3564223729.4,5237431.5,1014760319.0,25852.5,3634242957.6
1,8260867318455709529,pp_12,3.6,1.0,0.9,76850.0,490733.2,3331427620.4,5267118.5,1014816123.0,25677.5,3634434080.4
1,8260867318455709529,pp_10,3.6,1.0,1.0,75227.0,469828.2,3476684519.1,5423682.8,1014872866.0,27401.6,3634647892.2
1,8260867318455709529,pp_9,3.6,1.0,0.9,77961.5,396326.0,3333664018.3,5336445.7,1014928883.0,27643.1,3634863092.1
1,8260867318455709529,pp_8,3.6,1.0,0.9,76971.5,529718.2,3333238273.3,5320594.5,1014975416.0,38436.3,3635044848.3
1,8260867318455709529,pp_13,3.6,1.0,0.9,77750.1,435424.6,3335493518.7,5293424.2,1015037423.0,24861.3,3635243644.4
1,8260867318455709529,pp_6,3.6,1.0,1.0,74524.7,394361.3,3478481758.5,5300402.0,1015089890.0,27324.6,3635412553.7
1,8260867318455709529,pp_4,3.6,1.0,0.9,75603.8,410616.1,3263162390.9,6673059.7,1015146449.0,35724.9,3635737215.8
1,8260867318455709529,pp_5,3.6,1.0,0.9,75964.9,467382.5,3263753444.4,5771196.7,1015202901.0,19776.3,3635822510.0
1,8260867318455709529,pp_2,3.6,1.0,0.9,78347.2,450834.6,3334068161.1,5431008.3,1015259206.0,71908.9,3636000036.5
1,8260867318455709529,worker_0,3.6,1.0,3.1,2857316.7,7595316.8,11125176364.6,13859616.7,1012002209.0,1837690.0,3621957763.3
1,8260867318455709529,worker_1,3.6,1.0,3.0,3526566.9,9208777.0,10933683093.7,21286247.4,1010010867.0,1231568.9,3620726307.7
1,8260867318455709529,worker_2,3.4,1.0,3.0,3581599.8,9350747.2,10443025432.8,21714624.4,1009839451.0,1293645.2,3473254790.7
1,8260867318455709529,worker_3,3.6,1.0,3.1,3102092.1,8589092.0,11388216240.3,24973329.4,1009420165.0,1380218.1,3619176025.0
1,8260867318455709529,worker_4,3.5,1.0,3.0,3284035.2,8367735.9,10692621425.3,22341483.4,1010130064.0,1272542.4,3539665888.2
1,8260867318455709529,worker_5,3.5,1.0,3.1,3101537.3,8325770.1,10995103314.9,24349224.3,1009707600.0,1177906.1,3543503377.8
1,8260867318455709529,worker_6,3.4,1.0,3.0,3205807.5,8547096.0,10429296895.0,23253129.7,1010558979.0,1240362.0,3450149262.4
1,8260867318455709529,worker_7,3.5,1.0,3.1,3256308.7,8734549.1,10962961889.6,21993516.2,1010035985.0,1277509.2,3548373353.1
1,8260867318455709529,worker_8,3.5,1.0,3.1,3228443.7,8983850.3,11084109685.0,22618998.2,1010198813.0,1242847.8,3565743717.4
1,8260867318455709529,worker_9,3.5,1.0,3.1,3140396.0,8523770.4,10839744989.1,22621437.4,1009986478.0,1311012.7,3521663906.1
1,8260867318455709529,group_committer,2.6,0.1,0.3,149190.2,8482061.4,132645861.9,158570468.9,151245138.0,5019633.4,399366830.0
1,8260867318455709529,pp_3,3.6,1.0,0.9,79039.7,549653.5,3327371857.6,5899765.9,1015996700.0,55760.6,3638141119.8
1,8260867318455709529,pp_0,3.6,1.0,0.9,76688.6,496678.7,3268016865.3,5771373.2,1015843360.0,42177.7,3638244896.2
2,8260867318455709529,pp_11,3.6,1.0,0.9,82335.9,272561.3,3665489784.6,3361087.8,1094240801.0,1717.3,3926993028.1
2,8260867318455709529,pp_1,3.6,1.0,1.0,103098.6,306405.1,3824732878.7,3226352.5,1094244704.0,1722.3,3927004127.3
2,8260867318455709529,pp_15,3.6,1.0,0.9,82307.4,295053.6,3666208989.4,3467805.2,1094242327.0,1835.4,3926991633.7
2,8260867318455709529,pp_14,3.6,1.0,0.9,82666.2,302190.7,3666085520.2,3432994.6,1094165155.0,2135.8,3926583073.3
2,8260867318455709529,pp_7,3.6,1.0,1.0,82002.0,260323.3,3920079256.3,3339713.0,1094231503.0,1133.4,3926941734.3
2,8260867318455709529,pp_12,3.6,1.0,0.9,81788.1,352260.5,3664410959.8,3376937.9,1094226770.0,1926.1,3926941908.4
2,8260867318455709529,pp_10,3.6,1.0,1.0,79248.2,328178.7,3825838523.6,3361242.3,1094224753.0,1476.0,3926923413.0
2,8260867318455709529,pp_9,3.6,1.0,0.9,82337.1,302517.8,3664575274.3,3354817.3,1094220259.0,1251.5,3926904872.2
2,8260867318455709529,pp_8,3.6,1.0,0.9,82074.9,405474.2,3664177082.7,3382580.0,1094172884.0,1619.3,3926732431.8
2,8260867318455709529,pp_13,3.6,1.0,0.9,82274.2,270458.7,3667576600.2,3317740.0,1094211022.0,1498.1,3926878890.8
2,8260867318455709529,pp_6,3.6,1.0,1.0,78881.2,275683.1,3825776758.7,3281865.3,1094207139.0,1535.6,3926847892.1
2,8260867318455709529,pp_4,3.6,1.0,0.9,80591.3,298321.1,3588659318.1,4173721.8,1094203798.0,10694.9,3926857942.8
2,8260867318455709529,pp_5,3.6,1.0,0.9,80846.4,380841.1,3589210301.6,3410723.3,1094197298.0,1444.6,3926788938.8
2,8260867318455709529,pp_2,3.6,1.0,0.9,82432.3,320676.9,3664750036.0,3090479.7,1094194733.0,2553.0,3926783806.9
2,8260867318455709529,worker_0,3.6,1.0,4.0,5448.4,16740.6,15695107568.8,3262043.2,1094157078.0,5758.3,3927020104.0
2,8260867318455709529,worker_1,3.6,1.0,4.0,5120.5,10756.7,15695214116.9,3225124.3,1094154308.0,4565.8,3927014259.9
2,8260867318455709529,worker_2,3.6,1.0,4.0,5463.8,13514.2,15692671202.6,3177307.6,1094106832.0,6241.6,3926769977.2
2,8260867318455709529,worker_3,3.6,1.0,4.0,4998.7,12640.5,15694236683.7,3152769.7,1094147492.0,4736.5,3926971356.6
2,8260867318455709529,worker_4,3.6,1.0,4.0,6027.9,10940.3,15688194330.2,3375349.5,1094134638.0,4979.1,3926903461.6
2,8260867318455709529,worker_5,3.6,1.0,4.0,4991.8,12855.8,15694334039.7,3126238.9,1094089623.0,4550.2,3926781151.1
2,8260867318455709529,worker_6,3.9,1.0,4.0,7640.0,85229.6,16929506062.6,17944889.2,1094050180.0,11693.1,4245321844.3
2,8260867318455709529,worker_7,3.6,1.0,4.0,5560.2,13730.8,15690859429.4,3166725.6,1094007174.0,5662.3,3926445382.0
2,8260867318455709529,worker_8,3.6,1.0,4.0,5340.4,16812.4,15686691426.0,3196474.4,1093659841.0,5599.5,3925236407.2
2,8260867318455709529,worker_9,3.6,1.0,4.0,5041.5,9763.1,15691623845.8,3217440.6,1093914515.0,4504.3,3926177591.1
2,8260867318455709529,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2,8260867318455709529,pp_3,3.6,1.0,0.9,82708.5,286369.7,3662976669.1,3437005.9,1093872607.0,1879.0,3925676505.4
2,8260867318455709529,pp_0,3.6,1.0,0.9,80689.9,365040.5,3587375607.9,3350917.7,1093618526.0,2006.5,3924748617.2
3,8260867318455709529,pp_11,3.6,1.0,0.9,77455.9,247346.9,3392466833.3,5678172.8,1013317062.0,1874.4,3636766515.7
3,8260867318455709529,pp_1,3.6,1.0,1.0,102164.4,296860.9,3538599720.9,5457786.7,1013318113.0,1912.5,3636719648.0
3,8260867318455709529,pp_15,3.6,1.0,0.9,77325.2,276219.0,3394117786.8,5450806.8,1013336479.0,2091.2,3636787994.8
3,8260867318455709529,pp_14,3.6,1.0,0.9,77793.0,261580.2,3394804968.8,5290066.5,1013319713.0,1866.4,3636673386.0
3,8260867318455709529,pp_7,3.6,1.0,1.0,77542.5,284049.6,3623779361.5,5440535.5,1013338055.0,1279.3,3636820917.7
3,8260867318455709529,pp_12,3.6,1.0,0.9,77586.7,332207.4,3392104713.6,5409991.9,1013322257.0,1676.4,3636756074.8
3,8260867318455709529,pp_10,3.6,1.0,1.0,74315.6,302207.0,3541787408.2,5756388.8,1013336369.0,1483.0,3636817395.5
3,8260867318455709529,pp_9,3.6,1.0,0.9,77415.6,246576.9,3393780913.6,5714568.7,1013328300.0,1655.6,3636792640.0
3,8260867318455709529,pp_8,3.6,1.0,0.9,77729.4,417998.3,3393293307.5,5662316.6,1013325643.0,2395.4,3636770602.3
3,8260867318455709529,pp_13,3.6,1.0,0.9,77679.3,267506.6,3395392064.3,5351479.9,1013329466.0,1531.6,3636790105.5
3,8260867318455709529,pp_6,3.6,1.0,1.0,74429.3,249750.7,3541282284.8,5829621.4,1013336470.0,1910.4,3636821215.7
3,8260867318455709529,pp_4,3.6,1.0,0.9,75786.8,296549.1,3322334214.5,6227332.1,1013335767.0,10030.2,3636825789.2
3,8260867318455709529,pp_5,3.6,1.0,0.9,75862.2,310423.3,3323111599.5,5630081.1,1013334465.0,1455.5,3636805644.2
3,8260867318455709529,pp_2,3.6,1.0,0.9,77741.3,300229.5,3392031641.1,5374682.5,1013304300.0,2854.4,3636663971.3
3,8260867318455709529,worker_0,3.6,1.0,4.0,4931.7,12085.4,14524682465.3,5500820.2,1013295806.0,6338.2,3636822788.5
3,8260867318455709529,worker_1,3.6,1.0,4.0,5425.1,11052.2,14526238665.0,5104057.9,1013287506.0,6346.5,3636782284.0
3,8260867318455709529,worker_2,3.6,1.0,4.0,5447.1,14035.2,14524318771.9,5443980.9,1013272205.0,8218.5,3636735585.9
3,8260867318455709529,worker_3,3.6,1.0,4.0,5636.4,14600.5,14527018583.5,4808198.4,1013276996.0,4976.0,3636701420.9
3,8260867318455709529,worker_4,3.6,1.0,4.0,5232.5,11682.8,14532997508.6,3564825.0,1013313609.0,5538.4,3636821922.8
3,8260867318455709529,worker_5,3.6,1.0,4.0,5726.1,13791.2,14528756845.1,4786641.7,1013344007.0,4669.1,3636953404.4
3,8260867318455709529,worker_6,3.9,1.0,4.0,12332.5,172062.9,15675534183.5,20917348.6,1013383391.0,223053.1,3935537980.3
3,8260867318455709529,worker_7,3.6,1.0,4.0,5894.2,15490.7,14526018172.0,4988885.3,1013415137.0,5841.3,3637218719.9
3,8260867318455709529,worker_8,3.6,1.0,4.0,6548.6,17069.7,14527880238.8,5071005.2,1013402441.0,5487.5,3637145791.4
3,8260867318455709529,worker_9,3.6,1.0,4.0,5809.1,10420.3,14522942680.8,5031333.7,1013493348.0,5269.5,3637399769.8
3,8260867318455709529,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,8260867318455709529,pp_3,3.6,1.0,0.9,77724.1,270887.3,3393928283.7,5479567.3,1013505069.0,1821.8,3637339772.9
3,8260867318455709529,pp_0,3.6,1.0,0.9,76036.9,307065.6,3324125763.1,5670618.8,1013464484.0,2240.3,3637238166.8
4,8260867318455709529,pp_11,3.6,1.0,0.9,76704.9,309292.5,3406124114.0,2965965.9,1017057480.0,1672.2,3649310805.8
4,8260867318455709529,pp_1,3.6,1.0,1.0,99604.0,311500.3,3555136028.8,2808799.3,1017065406.0,1639.8,3649517519.7
4,8260867318455709529,pp_15,3.6,1.0,0.9,76491.0,265677.8,3407427120.4,3010451.9,1017047028.0,1738.0,3649220467.9
4,8260867318455709529,pp_14,3.6,1.0,0.9,77153.1,329528.2,3407453247.5,3104486.3,1017003431.0,1627.8,3648965173.8
4,8260867318455709529,pp_7,3.6,1.0,1.0,76687.7,307042.5,3643105197.3,3060822.8,1017053747.0,1467.3,3649238136.2
4,8260867318455709529,pp_12,3.6,1.0,0.9,76461.1,386661.2,3406688646.7,3000797.3,1017045883.0,1272.1,3649224815.4
4,8260867318455709529,pp_10,3.6,1.0,1.0,73348.7,324970.0,3554496439.9,3031569.0,1017053090.0,1527.2,3649233550.4
4,8260867318455709529,pp_9,3.6,1.0,0.9,76363.4,275809.7,3407585653.6,3134386.0,1017049200.0,1328.4,3649223094.5
4,8260867318455709529,pp_8,3.6,1.0,0.9,76613.0,395172.5,3406738237.0,3006546.7,1017038563.0,1379.9,3649177818.0
4,8260867318455709529,pp_13,3.6,1.0,0.9,76504.0,292388.2,3408239117.6,3012921.7,1017039511.0,1316.4,3649201691.5
4,8260867318455709529,pp_6,3.6,1.0,1.0,73603.4,250985.0,3555162367.0,2978189.5,1017046287.0,1375.1,3649237702.8
4,8260867318455709529,pp_4,3.6,1.0,0.9,75049.1,335999.9,3335375737.4,3791159.8,1017047970.0,9523.9,3649239921.6
4,8260867318455709529,pp_5,3.6,1.0,0.9,75442.0,368048.4,3335784897.2,3153152.5,1017046580.0,1358.3,3649208299.1
4,8260867318455709529,pp_2,3.6,1.0,0.9,77610.2,297065.3,3406638014.6,2815798.9,1017045730.0,1919.0,3649231998.2
4,8260867318455709529,worker_0,3.6,1.0,4.0,4797.1,11107.6,14588589627.0,3049841.3,1017026372.0,4733.9,3650226037.7
4,8260867318455709529,worker_1,3.6,1.0,4.0,4542.8,9200.6,14588833953.9,2985031.5,1017029160.0,4133.8,3650210501.2
4,8260867318455709529,worker_2,3.6,1.0,4.0,5273.0,11537.0,14586681518.4,3058745.6,1016999602.0,6047.1,3650059995.3
4,8260867318455709529,worker_3,3.6,1.0,4.0,4765.2,11077.7,14588120792.4,3051133.0,1017025667.0,4659.7,3650237793.7
4,8260867318455709529,worker_4,3.6,1.0,4.0,4971.8,9299.2,14587705269.4,3165121.8,1017022192.0,4412.8,3650207486.0
4,8260867318455709529,worker_5,3.6,1.0,4.0,4857.4,11296.9,14588276347.7,3079847.2,1017015998.0,4411.7,3650202722.0
4,8260867318455709529,worker_6,3.9,1.0,4.0,5217.7,21656.8,15744391723.7,3513966.8,1017015385.0,20991.1,3940931617.7
4,8260867318455709529,worker_7,3.6,1.0,4.0,4832.3,12001.4,14586261810.5,2956303.4,1017024804.0,4885.7,3650174448.5
4,8260867318455709529,worker_8,3.6,1.0,4.0,5248.1,12948.4,14584409507.6,3114618.9,1016748567.0,5063.7,3649228585.6
4,8260867318455709529,worker_9,3.6,1.0,3.9,6536.5,11849.2,14339632288.2,3120490.5,1017028986.0,3860.8,3650014483.6
4,8260867318455709529,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,8260867318455709529,pp_3,3.6,1.0,0.9,76983.3,306152.7,3407401620.0,3133699.0,1017061488.0,1759.6,3649212488.8
