t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,41,3.9,0,0,0.0,96.1,0,0,0,0,1,0,30,0,0,0.0,0,0,0.4,0,-nan,0.4,0,575,0,-nan,0,30,0.0,0,0
1,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,15622,3.0,0,0,0.0,97.0,0,0,0,0,1360,0,180,0,0,0.0,0,0,0.1,0,-nan,0.1,0,50767,440159,-nan,0,2,0.0,0,0
2,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
3,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
4,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
5,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,14157,3.7,0,0,0.4,95.9,0,0,0,0,43755,0,1657,0,0,0.0,0,0,0.0,0,-nan,0.1,0,43491,153613,-nan,0,1,0.0,0,0
6,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,4547,6.3,0,0,0.0,93.6,0,0,0,0,7472,0,469,0,0,0.0,0,0,0.1,0,-nan,0.0,0,14074,374563,-nan,0,1,0.0,0,0
7,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
8,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
9,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,10791,5.6,0,0,0.1,94.3,0,0,0,0,42503,0,794,0,0,0.0,0,0,0.1,0,-nan,0.1,0,36298,138265,-nan,0,1,0.0,0,0
10,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,1829,-nan,0,0,-nan,-nan,0,0,0,0,0,0,17,0,0,0.0,0,0,0.0,0,-nan,0.0,0,6160,22,-nan,0,0,0.0,0,0
11,8260867318455709529,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
0,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,54,3.2,0,0,0.0,96.8,0,0,0,0,1,0,5,0,0,0.0,0,0,0.5,0,-nan,0.5,0,865,0,-nan,0,31,0.0,0,0
1,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,9079,1.8,0,0,0.0,98.2,0,0,0,0,0,0,3,0,0,0.0,0,0,0.1,0,-nan,0.1,0,45488,174117,-nan,0,1,0.0,0,0
2,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
3,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
4,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
5,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,7755,2.9,0,0,0.0,97.0,0,0,0,0,10156,0,28,0,0,0.0,0,0,0.0,0,-nan,0.1,0,35661,519900,-nan,0,1,0.0,0,0
6,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,1584,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,7486,7,-nan,0,0,0.0,0,0
7,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,857,0.8,0,0,0.0,99.2,0,0,0,0,35520,0,20,0,0,0.0,0,0,0.1,0,-nan,0.0,0,4373,142961,-nan,0,1,0.0,0,0
8,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
9,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
10,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
11,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
0,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,58,3.1,0,0,0.0,96.9,0,0,0,0,1,0,2,0,0,0.0,0,0,0.5,0,-nan,0.5,0,903,0,-nan,0,310,0.0,0,0
1,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,9828,2.5,0,0,0.0,97.5,0,0,0,0,0,0,3,0,0,0.0,0,0,0.1,0,-nan,0.1,0,47362,335332,-nan,0,1,0.0,0,0
2,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
3,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
4,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
5,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,9896,5.9,0,0,0.2,93.9,0,0,0,0,8268,0,279,0,0,0.0,0,0,0.0,0,-nan,0.1,0,41520,338549,-nan,0,1,0.0,0,0
6,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,2118,5.4,0,0,0.1,94.5,0,0,0,0,40193,0,10,0,0,0.0,0,0,0.1,0,-nan,0.0,0,7869,232935,-nan,0,1,0.0,0,0
7,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
8,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
9,9746220439518514736,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
0,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,41,2.7,0,0,0.0,97.3,0,0,0,0,1,0,2,0,0,0.0,0,0,0.5,0,-nan,0.5,0,790,0,-nan,0,31,0.0,0,0
1,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,9822,1.7,0,0,0.0,98.3,0,0,0,0,0,0,2,0,0,0.0,0,0,0.1,0,-nan,0.1,0,45070,170621,-nan,0,1,0.0,0,0
2,8952077520398504792,0,0,0,0,0,0,0,0,0,0,0,508,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2528,0,-nan,0,0,0.0,0,0
