t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,11327061893118909317,0.0,0.0,0.0,622158458,29.7,0,0.0,0.6,0,655000.0,0.0,163750,0,0.0,163752,0.0,0.0,0.0,0,0,100.0,0,0
1,11327061893118909317,0.0,0.0,0.0,119531399,21.0,0,0.0,0.7,0,736680.0,0.0,32310,0,0.0,184170,0.0,0.0,0.0,0,0,100.0,0,0
2,11327061893118909317,0.0,0.0,0.0,138606667,16.8,0,0.0,0.7,0,775916.0,0.0,18113,0,0.0,193981,0.0,0.0,0.0,0,0,100.0,0,0
3,11327061893118909317,0.0,0.0,0.0,117289095,12.3,0,0.0,0.8,0,817164.0,0.0,16499,0,0.0,204293,0.0,0.0,0.0,0,0,100.0,0,0
4,11327061893118909317,0.0,0.0,0.0,163577825,9.6,4688,10407178268141928.0,0.8,0,842816.0,0.0,18656,251,0.0,210704,0.0,0.0,24.0,0,5177,100.0,0,0
5,11327061893118909317,0.0,0.2,0.0,43296512,8.4,14919,8878083433471539.0,0.8,0,853632.0,0.0,21245,1153,0.1,213408,0.0,0.0,13.1,0,16429,100.0,0,0
6,11327061893118909317,0.0,0.0,0.0,78753364,7.7,6407,13127335683031774.0,0.8,0,860216.0,0.0,11818,634,0.0,215054,0.0,0.0,13.5,0,7006,100.0,0,0
7,11327061893118909317,0.0,0.1,0.0,49383873,6.9,6662,11739962529660058.0,0.8,0,867976.0,0.0,12782,817,0.1,216994,0.0,0.0,13.6,0,7192,100.0,0,0
8,11327061893118909317,0.1,0.4,0.0,38075057,5.6,9181,3192197138592113.5,0.8,0,880280.0,0.0,18658,1254,0.3,220072,0.0,0.0,13.5,0,9931,100.0,0,0
9,11327061893118909317,0.1,0.3,0.0,77394780,3.8,10204,844592257414560.4,0.9,0,897720.0,0.0,20245,1579,0.3,224430,0.0,0.0,12.2,0,10858,100.0,0,0
0,6162824087970043652,0.0,0.0,0.0,684720236,10.7,8166,3201926236050160.5,0.8,0,832068.0,0.0,215533,480,0.0,208017,0.0,0.0,30.0,0,9136,100.0,0,0
1,6162824087970043652,0.0,0.0,0.0,86024168,10.1,8750,7841686689488746.0,0.8,0,838356.0,0.0,11792,783,0.0,209589,0.0,0.0,4.0,0,9713,100.0,0,0
2,6162824087970043652,0.0,0.2,0.0,95007727,8.5,9330,4171252537457501.5,0.8,0,852596.0,0.0,21589,1072,0.2,213149,0.0,0.0,4.0,0,10310,100.0,0,0
3,6162824087970043652,0.0,0.0,0.0,109037310,8.4,895,85905057462805824.0,0.8,0,853984.0,0.0,1092,108,0.0,213496,0.0,0.0,1.5,0,976,100.0,0,0
4,6162824087970043652,0.0,0.0,0.0,117462912,8.7,0,0.0,0.8,0,851240.0,0.0,1321,0,0.0,212810,0.0,0.0,0.0,0,0,100.0,0,0
