t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,11327061893118909317,pp_15,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_14,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_13,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_12,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_11,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_10,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_8,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_8,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,worker_9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,11327061893118909317,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,11327061893118909317,pp_15,3.6,1.0,1.0,74559.6,463385.7,3538242803.2,3340990.9,1013858957.0,41236.1,3638779551.7
1,11327061893118909317,pp_14,3.6,1.0,0.9,71841.7,524386.9,3447127219.3,3386869.1,1013890880.0,44738.4,3638831767.1
1,11327061893118909317,pp_13,3.6,1.0,0.9,74649.8,436692.6,3307975112.1,3371738.0,1013916655.0,43299.9,3638984415.5
1,11327061893118909317,pp_12,3.6,1.0,0.9,74507.5,484454.8,3304678412.1,3385145.4,1013941631.0,48438.1,3639076484.6
1,11327061893118909317,pp_11,3.6,1.0,0.9,74433.2,454618.0,3305814757.3,3051974.4,1013954547.0,36175.8,3639150464.9
1,11327061893118909317,pp_10,3.6,1.0,1.0,74106.6,488768.9,3529101188.4,3031332.8,1013980740.0,36927.1,3639238155.1
1,11327061893118909317,pp_3,3.6,1.0,0.9,74773.0,498225.0,3306814367.2,3021310.3,1013999588.0,46495.0,3639289652.0
1,11327061893118909317,pp_8,3.6,1.0,0.9,74794.7,581214.6,3304269349.9,3033319.6,1014025449.0,36441.2,3639359673.9
1,11327061893118909317,pp_7,3.6,1.0,0.9,72376.3,696811.5,3207830832.2,3054035.0,1014052458.0,42962.8,3639435518.4
1,11327061893118909317,pp_6,3.6,1.0,0.9,74433.3,455567.1,3305041618.3,2948947.5,1014104262.0,41159.2,3639622111.2
1,11327061893118909317,pp_5,3.6,1.0,0.9,73462.4,515804.3,3236343361.6,3180206.9,1014159001.0,49466.8,3639788377.6
1,11327061893118909317,pp_4,3.6,1.0,0.9,97278.7,453818.4,3448956198.1,3084582.4,1014215856.0,40622.6,3640036857.6
1,11327061893118909317,pp_9,3.6,1.0,0.9,74521.6,489285.4,3306932196.0,3167173.4,1014261431.0,29645.8,3640187100.8
1,11327061893118909317,pp_1,3.6,1.0,0.9,75625.9,513498.4,3307083145.4,3070197.6,1014323979.0,38192.0,3640414894.0
1,11327061893118909317,worker_0,3.6,1.0,3.0,4288021.3,10402788.1,10754551026.6,16634280.2,1007401591.0,1517122.0,3613014281.9
1,11327061893118909317,worker_1,3.6,1.0,3.2,3600393.9,8341377.4,11489141901.1,13776422.0,1008675923.0,1227993.7,3617648186.6
1,11327061893118909317,worker_2,3.6,1.0,3.3,3262106.3,7500932.1,11785513712.5,12700334.7,1009520107.0,1105657.2,3621017522.3
1,11327061893118909317,worker_4,3.5,1.0,2.9,4064305.1,10319392.4,10367723996.6,21876098.6,1007046056.0,1393018.7,3520857884.5
1,11327061893118909317,worker_3,3.5,1.0,3.0,3933236.7,10010471.2,10423361119.3,22913884.1,1007072843.0,1349210.6,3511962229.4
1,11327061893118909317,worker_5,3.5,1.0,2.9,3964832.6,10219217.0,10347234140.1,23309340.8,1006506508.0,1407494.5,3516430936.5
1,11327061893118909317,worker_6,3.5,1.0,3.0,4003664.7,10234181.3,10368005499.1,22148983.0,1007360713.0,1419377.5,3506903983.8
1,11327061893118909317,worker_7,3.5,1.0,3.0,3925127.6,10080124.2,10400696512.5,22829307.1,1007227629.0,1347752.1,3523566254.9
